,CD_GEOCODM,NM_MUNICIP,LONG,LAT,ALT,geopoint
5276,510774,SANTA CRUZ DO XINGU,"-52,3986159655702","-10,1524495036333","345,62093","-10.1524495036333,-52.3986159655702"
5277,510775,SALTO DO C�U,"-58,1267518070165","-15,1358245747687","293,232081","-15.1358245747687,-58.1267518070165"
5278,510776,SANTA RITA DO TRIVELATO,"-55,2776928814179","-13,8161897319564","512,132374","-13.8161897319564,-55.2776928814179"
5279,510777,SANTA TEREZINHA,"-50,5062664379029","-10,4661116195783","193,897114","-10.4661116195783,-50.5062664379029"
5280,510779,SANTO ANT�NIO DO LESTE,"-53,6117238521722","-14,8008133965517","647,02335","-14.8008133965517,-53.6117238521722"
5281,510780,SANTO ANT�NIO DO LEVERGER,"-56,0941622007565","-15,8691790439575","144,024707","-15.8691790439575,-56.0941622007565"
5282,510785,S�O F�LIX DO ARAGUAIA,"-50,6619863699344","-11,6160823259387","194,774015","-11.6160823259387,-50.6619863699344"
5283,510787,SAPEZAL,"-58,8121380141755","-13,5381953534711","569,362636","-13.5381953534711,-58.8121380141755"
5284,510788,SERRA NOVA DOURADA,"-51,3995934077539","-12,089271838886","299,63575","-12.089271838886,-51.3995934077539"
5285,510790,SINOP,"-55,5009220023868","-11,8580053080776","377,04184","-11.8580053080776,-55.5009220023868"
5286,510792,SORRISO,"-55,7259136750913","-12,5517767078455","380,156774","-12.5517767078455,-55.7259136750913"
5287,510794,TABAPOR�,"-56,8248337962705","-11,3075079570383","335,007205","-11.3075079570383,-56.8248337962705"
5288,510795,TANGAR� DA SERRA,"-57,4912991530603","-14,623784750468","401,831814","-14.623784750468,-57.4912991530603"
5289,510800,TAPURAH,"-56,5194858964735","-12,7320686313157","375,13416","-12.7320686313157,-56.5194858964735"
5290,510805,TERRA NOVA DO NORTE,"-55,1159514886165","-10,5971280931496","296,471674","-10.5971280931496,-55.1159514886165"
5291,510810,TESOURO,"-53,5558439620298","-16,0752374012224","406,379119","-16.0752374012224,-53.5558439620298"
5292,510820,TORIXOR�U,"-52,5588386353409","-16,1975263639358","339,559778","-16.1975263639358,-52.5588386353409"
5293,510830,UNI�O DO SUL,"-54,3748444105852","-11,5355107507237","325,666929","-11.5355107507237,-54.3748444105852"
5294,510835,VALE DE S�O DOMINGOS,"-59,064571157227","-15,2958978418302","272,996979","-15.2958978418302,-59.064571157227"
5295,510840,V�RZEA GRANDE,"-56,1446637401866","-15,6580648240885","193,286861","-15.6580648240885,-56.1446637401866"
5296,510850,VERA,"-55,30091857486","-12,2840488631767","386,657225","-12.2840488631767,-55.30091857486"
5297,510860,VILA RICA,"-51,1168225790044","-10,0133521818689","260,228979","-10.0133521818689,-51.1168225790044"
5298,510880,NOVA GUARITA,"-55,4030701389659","-10,3088464293765","288,984456","-10.3088464293765,-55.4030701389659"
5299,510885,NOVA MARIL�NDIA,"-56,9731767858961","-14,3624512717366","311,403803","-14.3624512717366,-56.9731767858961"
5300,510890,NOVA MARING�,"-57,0985516651799","-13,0114269541347","361,81326","-13.0114269541347,-57.0985516651799"
5301,510895,NOVA MONTE VERDE,"-57,4723693069132","-9,97261692693499","291,325524","-9.97261692693499,-57.4723693069132"
5302,520005,ABADIA DE GOI�S,"-49,4405478326574","-16,7588118948196","893,601466","-16.7588118948196,-49.4405478326574"
5303,520010,ABADI�NIA,"-48,7188121416752","-16,1826718580048","1017,550634","-16.1826718580048,-48.7188121416752"
5304,520013,ACRE�NA,"-50,3749733666553","-17,3981562192276","542,392736","-17.3981562192276,-50.3749733666553"
5305,520015,ADEL�NDIA,"-50,1631466761094","-16,4150015120189","641,106702","-16.4150015120189,-50.1631466761094"
5306,520017,�GUA FRIA DE GOI�S,"-47,7822121623989","-14,9855352682152","856,258285","-14.9855352682152,-47.7822121623989"
5307,520020,�GUA LIMPA,"-48,7612409591412","-18,0714060588379","679,320361","-18.0714060588379,-48.7612409591412"
5308,520025,�GUAS LINDAS DE GOI�S,"-48,2834444362152","-15,7379388562832","1208,669939","-15.7379388562832,-48.2834444362152"
5309,520030,ALEX�NIA,"-48,5096363918634","-16,0861676205662","1076,718932","-16.0861676205662,-48.5096363918634"
5310,520050,ALO�NDIA,"-49,4823211066406","-17,7249088541556","607,575083","-17.7249088541556,-49.4823211066406"
5311,520055,ALTO HORIZONTE,"-49,3327491561607","-14,1992268099335","394,720444","-14.1992268099335,-49.3327491561607"
5312,520060,ALTO PARA�SO DE GOI�S,"-47,5190934382788","-14,1362446377625","1232,606402","-14.1362446377625,-47.5190934382788"
